uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,ctrl_turbo(-)_1,ctrl_turbo(-)_2,fast_turbo(-)_1,fast_turbo(-)_2,LPS_turbo(-)_1,LPS_turbo(-)_2
Q91VM9,"Ppa2 Inorganic pyrophosphatase 2, mitochondrial",1,FP,24166.0,18016.0,28152.0,23929.0,20942.0,31913.0,28005.0,25508.0,34758.0,29421.0,21729.0,29889.0,34660.0,27270.0,15808.0,29530.0
D3YZZ5,Tmed7 Protein Tmed7,1,TP,54671.0,89470.0,95879.0,35755.0,32183.0,64386.0,36471.0,30390.0,84066.0,74766.0,21599.0,22592.0,32239.0,18606.0,18340.0,22390.0
Q9CRT8,Xpot Exportin-T,4,FP,245193.0,339468.0,335330.0,332531.0,231960.0,431512.0,378039.0,284791.0,547026.0,500688.0,321327.0,420694.0,473413.0,343759.0,217145.0,247813.0
Q3U0S6,Rasip1 Ras-interacting protein 1,4,,106889.0,100385.0,122321.0,119004.0,70155.0,106987.0,121589.0,120934.0,172157.0,150562.0,111287.0,132601.0,121031.0,95248.0,80742.0,128054.0
P29351,Ptpn6 Tyrosine-protein phosphatase non-receptor type 6,2,FP,24433.0,19533.0,24113.0,15805.0,13808.0,19208.0,38913.0,39288.0,69776.0,65494.0,16864.0,33226.0,29125.0,31645.0,36692.0,37676.0
P29416,Hexa Beta-hexosaminidase subunit alpha,2,,26852.0,27728.0,37934.0,21957.0,16378.0,17974.0,20139.0,14343.0,31871.0,25204.0,9913.0,13612.0,11180.0,15751.0,9044.0,13195.0
Q6NSR8,Npepl1 Probable aminopeptidase NPEPL1,3,,62751.0,50261.0,61258.0,56156.0,52797.0,55465.0,52921.0,52598.0,77700.0,58703.0,55009.0,59001.0,99519.0,57357.0,28981.0,50308.0
Q99LH2,Ptdss1 Phosphatidylserine synthase 1,2,TP,95423.0,94014.0,124662.0,76308.0,89101.0,94758.0,132941.0,100779.0,141944.0,118242.0,106615.0,118774.0,145570.0,101786.0,77626.0,139625.0
Q8C0N2,Gpat3 Glycerol-3-phosphate acyltransferase 3,2,TP,3043.0,2851.0,4069.0,8355.0,3010.0,7950.0,6361.0,9138.0,10951.0,9009.0,5113.0,5427.0,8106.0,6197.0,3971.0,6460.0
P99026,Psmb4 Proteasome subunit beta type-4,1,FP,10428.0,10395.0,9744.0,9717.0,2996.0,14475.0,10493.0,11084.0,12944.0,12160.0,6066.0,11327.0,20603.0,8671.0,6791.0,11154.0
Q9CRB9,Chchd3 MICOS complex subunit Mic19,1,FP,45175.0,57404.0,76399.0,40051.0,32278.0,52221.0,58416.0,54187.0,88299.0,85425.0,55630.0,70978.0,104888.0,63391.0,38539.0,48424.0
Q6PAR5,Gapvd1 GTPase-activating protein and VPS9 domain-containing protein 1,6,,189815.0,200134.0,240985.0,163620.0,125851.0,199116.0,196952.0,183027.0,318548.0,279696.0,177953.0,221889.0,239215.0,187880.0,114046.0,172763.0
Q3U7R1,Esyt1 Extended synaptotagmin-1,4,TP,132304.0,109943.0,144151.0,120175.0,80031.0,123160.0,145567.0,143511.0,214229.0,196283.0,122519.0,145070.0,158881.0,106779.0,85592.0,146259.0
Q80YR4,Znf598 Zinc finger protein 598,3,,48092.0,41119.0,50071.0,32639.0,30576.0,30934.0,54734.0,45374.0,73435.0,58563.0,30879.0,53601.0,55808.0,41268.0,31723.0,50207.0
G5E8F8,Itgb5 Integrin beta,3,,40171.0,35505.0,32169.0,31230.0,20392.0,33790.0,23618.0,21431.0,70382.0,47933.0,6651.0,12749.0,12490.0,15714.0,6767.0,12102.0
Q3UYI5,Rgl3 Ral guanine nucleotide dissociation stimulator-like 3,2,,23363.0,25134.0,27768.0,22036.0,15537.0,34115.0,27103.0,18367.0,38186.0,36743.0,24212.0,38685.0,28648.0,21886.0,19665.0,23766.0
P97863,Nfib Nuclear factor 1 B-type,1,FP,6039.0,5542.0,6769.0,3159.0,2947.0,4435.0,3544.0,2442.0,5078.0,8549.0,3906.0,6264.0,5011.0,4874.0,2623.0,2609.0
Q99K28,Arfgap2 ADP-ribosylation factor GTPase-activating protein 2,1,TP,19344.0,28286.0,20057.0,19066.0,17764.0,31299.0,22239.0,19031.0,40084.0,38997.0,17462.0,24042.0,41223.0,19268.0,16172.0,17465.0
Q6PHZ2,Camk2d Calcium/calmodulin-dependent protein kinase type II subunit delta,1,,29605.0,32561.0,39618.0,22348.0,21988.0,25890.0,43217.0,28704.0,70301.0,65928.0,34508.0,42820.0,42123.0,32482.0,26374.0,28960.0
Q91V09,Wdr13 WD repeat-containing protein 13,2,FP,58988.0,51866.0,57547.0,40626.0,36794.0,42482.0,56654.0,51883.0,86840.0,68811.0,42117.0,70037.0,50352.0,49063.0,34987.0,51852.0
Q8R0L1,Stap2 Signal-transducing adaptor protein 2,2,,50887.0,60083.0,60901.0,37735.0,33479.0,47321.0,80993.0,64374.0,136156.0,114381.0,47016.0,57285.0,62853.0,42237.0,54025.0,57422.0
Q5U419,Mfsd3 Major facilitator superfamily domain-containing protein 3,1,,22613.0,26621.0,30776.0,18679.0,18256.0,28501.0,26747.0,26960.0,34727.0,31480.0,24182.0,37423.0,27617.0,22633.0,15422.0,20275.0
