uniprot_id,description,pep_num,annotation,ctrl_turbo(-)_1,ctrl_turbo(-)_2,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(-)_1,LPS_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4
P06684,C5 Complement C5,17,TP,332023.0,223899.0,275762.0,537793.0,682454.0,316244.0,305905.0,339652.0,341535.0,286567.0,462660.0,878209.0,561152.0,857105.0,543239.0,668558.0
Q6S9I3,Kng2 Protein Kng2,5,TP,14825.0,9519.0,44007.0,92373.0,128404.0,11220.0,25204.0,31942.0,72877.0,57986.0,22908.0,42848.0,53830.0,89347.0,47442.0,95056.0
Q5SWU9,Acaca Acetyl-CoA carboxylase 1,25,,130245.0,165558.0,701988.0,505808.0,147362.0,220568.0,245477.0,161815.0,147606.0,99188.0,431053.0,476427.0,500368.0,333667.0,212285.0,343093.0
P46412,Gpx3 Glutathione peroxidase 3,2,TP,15924.0,10062.0,24381.0,44705.0,79508.0,27758.0,33916.0,33666.0,53841.0,49260.0,41176.0,40864.0,69397.0,89967.0,26527.0,38655.0
P62806,Hist4h4 Histone H4,2,FP,18892.0,10613.0,29160.0,16697.0,23737.0,30119.0,17500.0,29280.0,18053.0,55521.0,28227.0,90145.0,54342.0,62414.0,26707.0,67456.0
Q9QWK4,Cd5l CD5 antigen-like,6,TP,104553.0,71831.0,79966.0,165056.0,200429.0,110147.0,132635.0,91096.0,142699.0,76445.0,330573.0,93654.0,196068.0,215943.0,90417.0,89686.0
P62900,Rpl31 60S ribosomal protein L31,2,,16770.0,23039.0,17897.0,29434.0,29128.0,50179.0,48932.0,31559.0,23703.0,25502.0,85341.0,53478.0,49232.0,81813.0,24351.0,27223.0
P01627,Gm5153 Ig kappa chain V-II region VKappa167,1,,1066.0,0.0,0.0,797.0,1639.0,1119.0,747.0,1000.0,2195.0,1644.0,3938.0,1791.0,3823.0,2818.0,2009.0,0.0
Q8CG16,C1ra Complement C1r-A subcomponent,2,,7375.0,5347.0,12807.0,31011.0,41111.0,7892.0,9407.0,11236.0,11951.0,13681.0,11424.0,19314.0,33828.0,46080.0,16389.0,25126.0
E9Q414,Apob Apolipoprotein B-100,55,TP,486815.0,470501.0,536276.0,717583.0,1011747.0,653634.0,979196.0,718746.0,1042601.0,449272.0,2038753.0,2911313.0,1225262.0,2041540.0,1592636.0,1438863.0
P13020,Gsn Gelsolin,9,TP,263767.0,171372.0,307744.0,739147.0,1033328.0,176386.0,291744.0,203206.0,391123.0,245172.0,313933.0,294898.0,373154.0,591795.0,329665.0,418538.0
Q9CPN9,"2210010C04Rik RIKEN cDNA 2210010C04, isoform CRA_b",2,,27410.0,20187.0,28324.0,19522.0,24924.0,16528.0,18547.0,15998.0,19991.0,17751.0,12511.0,22542.0,13625.0,21032.0,29542.0,37059.0
P05366,Saa1 Serum amyloid A-1 protein,1,TP,16804.0,702.0,2226.0,1835.0,7511.0,1091.0,7535.0,3512.0,6823.0,4007.0,43791.0,152299.0,41004.0,51220.0,29770.0,100612.0
P05367,Saa2 Serum amyloid A-2 protein,1,TP,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2932.0,2418.0,1224.0,1018.0,1510.0,7591.0
P12246,Apcs Serum amyloid P-component,3,TP,15826.0,3798.0,4598.0,12460.0,13182.0,8308.0,9549.0,5198.0,10789.0,6874.0,44342.0,173477.0,58422.0,93510.0,80771.0,75932.0
Q99K41,Emilin1 EMILIN-1,12,TP,78997.0,47035.0,71170.0,61032.0,164823.0,76545.0,88545.0,38377.0,66664.0,46263.0,110179.0,72789.0,83882.0,111284.0,35898.0,63676.0
P09813,Apoa2 Apolipoprotein A-II,2,TP,139980.0,24901.0,49124.0,72552.0,478612.0,37745.0,65944.0,31402.0,61423.0,54200.0,155943.0,177217.0,114274.0,120617.0,84635.0,165730.0
P39039,Mbl1 Mannose-binding protein A,2,TP,21825.0,7876.0,9740.0,15965.0,32824.0,9757.0,16005.0,13531.0,14644.0,15616.0,26122.0,49199.0,23323.0,40602.0,30679.0,37241.0
P01592,Jchain Immunoglobulin J chain,2,TP,34252.0,16917.0,23094.0,40147.0,59183.0,25593.0,49092.0,35255.0,53113.0,26933.0,84066.0,43738.0,44491.0,73067.0,32183.0,25806.0
P14847,Crp C-reactive protein,2,TP,13643.0,6741.0,6680.0,10637.0,22551.0,8210.0,15117.0,8879.0,16113.0,9061.0,23908.0,48907.0,18534.0,34218.0,17920.0,38478.0
Q3UTR7,Agt Angiotensinogen,3,TP,18467.0,16575.0,24754.0,66306.0,73222.0,10269.0,23505.0,33292.0,41079.0,32896.0,27846.0,27751.0,49053.0,72037.0,31522.0,36073.0
A0A0G2JGW8,Igkv12-89 Protein Igkv12-89,1,,7331.0,3254.0,6136.0,13859.0,8004.0,5361.0,11599.0,4426.0,16751.0,3923.0,79619.0,5779.0,20672.0,26656.0,10821.0,11031.0
Q62266,Sprr1a Cornifin-A,1,,4054.0,3815.0,2476.0,4540.0,4603.0,2928.0,6721.0,3374.0,3070.0,3642.0,6880.0,3232.0,3424.0,3093.0,2258.0,2753.0
Q61508,Ecm1 Extracellular matrix protein 1,5,TP,27789.0,20225.0,35674.0,76194.0,91809.0,26947.0,43298.0,33209.0,78559.0,54437.0,44570.0,43475.0,75995.0,118095.0,56641.0,68864.0
A0A140T8P6,Igkv12-46 Protein Igkv12-46,1,,3210.0,6876.0,1301.0,3509.0,3299.0,1859.0,1274.0,3657.0,736.0,997.0,5043.0,3290.0,3225.0,6923.0,1746.0,3154.0
P63276,Rps17 40S ribosomal protein S17,1,,1237.0,862.0,2976.0,844.0,1295.0,1943.0,2249.0,0.0,1932.0,2292.0,3796.0,2303.0,2828.0,6718.0,4398.0,1516.0
Q60590,Orm1 Alpha-1-acid glycoprotein 1,1,TP,8750.0,4162.0,9027.0,13545.0,50246.0,2836.0,8164.0,7566.0,7015.0,10075.0,9915.0,89288.0,32164.0,35988.0,27711.0,79607.0
P21180,C2 Complement C2,1,TP,3769.0,2721.0,12435.0,80736.0,15848.0,6323.0,3268.0,3438.0,9746.0,11592.0,5704.0,3271.0,37570.0,55642.0,17208.0,26378.0
P97873,Loxl1 Lysyl oxidase homolog 1,5,TP,37852.0,53718.0,44534.0,83137.0,107245.0,33873.0,44527.0,35519.0,64641.0,42003.0,99741.0,86794.0,118018.0,120668.0,71383.0,90227.0
Q6GQT1,A2m Alpha-2-macroglobulin-P,13,TP,56444.0,23065.0,91963.0,210938.0,206686.0,35790.0,39075.0,106226.0,118563.0,170731.0,134145.0,626106.0,438875.0,360843.0,388634.0,412702.0
P68369,Tuba1a Tubulin alpha-1A chain,1,,1383.0,876.0,1479.0,1209.0,3159.0,1659.0,1217.0,1691.0,1644.0,1314.0,4001.0,2041.0,1863.0,10394.0,2020.0,1516.0
P31532,Saa4 Serum amyloid A-4 protein,2,TP,10779.0,5214.0,8322.0,8026.0,17826.0,5772.0,11422.0,6755.0,12873.0,7486.0,39470.0,62324.0,15202.0,39820.0,18023.0,41808.0
P20029,Hspa5 78 kDa glucose-regulated protein,5,TP,41741.0,35788.0,66712.0,192701.0,222169.0,34285.0,51493.0,94191.0,128696.0,157680.0,61520.0,72468.0,169603.0,229369.0,71392.0,185001.0
S4R1W1,Gm3839 Glyceraldehyde-3-phosphate dehydrogenase,1,,26660.0,31251.0,31708.0,42355.0,35065.0,64577.0,61268.0,32267.0,33994.0,20685.0,59111.0,59090.0,55353.0,57671.0,26091.0,30739.0
Q9DBB9,Cpn2 Carboxypeptidase N subunit 2,5,TP,36110.0,14368.0,44309.0,118900.0,149551.0,31101.0,41096.0,42719.0,44727.0,42874.0,43248.0,82257.0,55430.0,105568.0,47987.0,103107.0
P49722,Psma2 Proteasome subunit alpha type-2,2,FP,5484.0,6582.0,5367.0,7229.0,10252.0,7720.0,5474.0,9038.0,8305.0,7163.0,10646.0,9276.0,9165.0,11684.0,7018.0,9522.0
Q61129,Cfi Complement factor I,7,TP,51126.0,19548.0,24646.0,39915.0,91439.0,24708.0,57624.0,29285.0,62276.0,31336.0,66266.0,131741.0,72578.0,117994.0,84432.0,88708.0
A0A075B5P5,Ighg3 Protein Ighg3,4,,43561.0,42228.0,29152.0,77789.0,99011.0,77819.0,63456.0,104487.0,102977.0,36060.0,191712.0,101150.0,172337.0,124604.0,51991.0,33414.0
Q9Z0Z4,Heph Hephaestin,8,,22847.0,20789.0,172299.0,595426.0,736217.0,14219.0,51295.0,138039.0,199202.0,213683.0,24838.0,50885.0,120265.0,193250.0,45435.0,209157.0
Q8VCU2,"Gpld1 Glycosylphosphatidylinositol specific phospholipase D1, isoform CRA_b",9,TP,66879.0,34356.0,37892.0,57630.0,101840.0,59666.0,66978.0,33205.0,80675.0,46033.0,60739.0,95224.0,47804.0,98913.0,54088.0,87563.0
O70165,Fcn1 Ficolin-1,4,TP,26326.0,18736.0,25707.0,67801.0,82345.0,77711.0,27689.0,29984.0,53195.0,32280.0,33143.0,45298.0,31641.0,45474.0,18442.0,38468.0
Q9D2Q8,S100a14 Protein S100-A14,1,,8614.0,7865.0,5170.0,9197.0,7060.0,4966.0,8900.0,5708.0,11232.0,7379.0,14643.0,6174.0,7655.0,11381.0,4701.0,10020.0
